,svm,lr,nb,bagging,fuzzy,svm,lr,nb,bagging,fuzzy,svm,lr,nb,bagging,fuzzy,svm,lr,nb,bagging,fuzzy,svm,lr,nb,bagging,fuzzy
tn,28.0,29.0,28.0,28.0,142.0,31.0,30.0,33.0,31.0,141.0,33.0,32.0,34.0,33.0,142.0,28.0,29.0,28.0,29.0,137.0,25.0,24.0,28.0,26.0,137.0
fp,1.0,0.0,1.0,1.0,18.0,4.0,5.0,2.0,4.0,19.0,3.0,4.0,2.0,3.0,18.0,3.0,2.0,3.0,2.0,23.0,5.0,6.0,2.0,4.0,23.0
fn,8.0,6.0,6.0,8.0,29.0,5.0,4.0,14.0,5.0,31.0,5.0,3.0,2.0,3.0,31.0,6.0,6.0,3.0,6.0,29.0,9.0,8.0,17.0,11.0,31.0
tp,23.0,25.0,25.0,23.0,108.0,20.0,21.0,11.0,20.0,106.0,19.0,21.0,22.0,21.0,106.0,23.0,23.0,26.0,23.0,108.0,21.0,22.0,13.0,19.0,106.0
acc,0.85,0.9,0.88,0.85,0.84,0.85,0.85,0.73,0.85,0.83,0.87,0.88,0.93,0.9,0.84,0.85,0.87,0.9,0.87,0.82,0.77,0.77,0.68,0.75,0.82
random_state,40.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0
